Id,SalePrice
1461,93645.3627864055
1462,163519.01591825008
1463,207747.75297014212
1464,206467.7670297944
1465,187717.17452082987
1466,199998.22675512778
1467,176348.3922440974
1468,189552.95533527277
1469,193398.34348943946
1470,119530.15947847065
1471,181295.10553090888
1472,109600.21690069763
1473,120002.90291666407
1474,170927.81810014785
1475,118346.32643836613
1476,304353.3850913295
1477,235083.92787413398
1478,250358.1048743149
1479,265516.4812432915
1480,370582.8114052722
1481,293430.8226287091
1482,211149.6416015379
1483,204638.48582594984
1484,183644.52319008834
1485,185532.48814548
1486,219531.81052513834
1487,307072.9546481922
1488,237766.87289040687
1489,200387.39163735445
1490,227397.08582642052
1491,212725.6205133703
1492,71422.40736383772
1493,197895.63004793582
1494,276880.59520562424
1495,271454.72655658436
1496,228954.098118191
1497,219984.653704272
1498,170575.77598604324
1499,170575.77598604324
1500,174474.1758205262
1501,199139.99801256962
1502,156949.47325781392
1503,225724.27290344576
1504,235695.81291339663
1505,227667.30375590007
1506,232632.48538025215
1507,290209.8656701161
1508,226652.18287719798
1509,186077.93266799962
1510,158764.35073929207
1511,155952.71641278834
1512,193636.33972135256
1513,198496.5618534674
1514,215846.30772487633
1515,276027.36346696736
1516,162538.90551179386
1517,146050.8737846665
1518,197136.38286557732
1519,221932.92701272704
1520,141669.3384873657
1521,149370.77164257158
1522,195090.39069093665
1523,143218.29454620663
1524,125796.77594261488
1525,117213.9000043417
1526,121833.48090356431
1527,87727.0353333494
1528,126047.61878256632
1529,146469.06467290802
1530,176026.61959851155
1531,144256.7810799443
1532,77547.7674175061
1533,160642.2739179023
1534,115662.18353370477
1535,164209.8631687501
1536,108176.8341115367
1537,67497.95183062229
1538,112242.27971853127
1539,170835.05957209994
1540,186469.32887574538
1541,121353.34622513026
1542,164345.36385146232
1543,186827.50007650937
1544,61083.31303770737
1545,98140.95737998109
1546,113649.57532769619
1547,141049.36440589555
1548,136524.11599476635
1549,85466.58646971732
1550,136292.89356747855
1551,96347.76491996493
1552,157054.20244858187
1553,116602.23042947482
1554,99412.62919865701
1555,206703.66290910423
1556,95008.73278013515
1557,126089.77163284307
1558,85096.95170028246
1559,125438.79021371488
1560,115470.18107614716
1561,232999.22029240482
1562,117201.06069532386
1563,115553.97576039351
1564,186655.53708143416
1565,158160.9542151136
1566,199214.59673778448
1567,65948.14689709371
1568,227613.1296633978
1569,158562.36361236306
1570,125243.45140462925
1571,148789.70612936316
1572,140775.00702527183
1573,230683.10892830207
1574,165056.74456148944
1575,201981.21942771264
1576,220053.6968015025
1577,196608.9344256623
1578,102489.53419979184
1579,152761.55723512283
1580,211625.84398204176
1581,143348.64511986249
1582,120572.46389932651
1583,282810.9224300687
1584,251447.91922064344
1585,140484.84116855
1586,67749.69850030806
1587,118770.91229611219
1588,156139.30603862132
1589,116423.71123667306
1590,150130.01882493007
1591,118410.62172347281
1592,129296.76971683091
1593,88827.28943981612
1594,244338.48787531088
1595,150928.27394612302
1596,211643.2785021815
1597,218563.5651762504
1598,205771.64696040063
1599,150791.98600588675
1600,169984.4464085427
1601,47784.38858754719
1602,84664.08984130986
1603,38119.39894439143
1604,238924.21492373836
1605,236807.03513662206
1606,175010.09253570886
1607,267395.1180706217
1608,209991.53654947778
1609,194743.0875373413
1610,193162.03710822912
1611,161788.30267967322
1612,216708.56559942994
1613,201756.0625048174
1614,125705.98965073512
1615,119926.02776387571
1616,119926.02776387571
1617,121701.80200903688
1618,119440.08683531082
1619,125970.57562943874
1620,275366.7159166564
1621,160993.06612799392
1622,167871.45504463994
1623,253427.0684512716
1624,226896.0581464814
1625,107099.73976234248
1626,190560.9318048826
1627,206648.15405422135
1628,270855.6260472514
1629,207934.82902272776
1630,350200.07362299843
1631,217249.001458389
1632,245880.052594341
1633,181144.50555812774
1634,210147.8883871012
1635,187099.49120952818
1636,177603.01427883064
1637,216190.8963335571
1638,234812.20487941607
1639,223084.53835526513
1640,303555.12689063454
1641,227485.35730109707
1642,242953.39131501608
1643,241075.50035577477
1644,234261.59024071955
1645,214308.6284516457
1646,151687.03111670056
1647,161987.78098453276
1648,155959.16075230163
1649,140955.20168160024
1650,117329.7500055547
1651,118217.63712813528
1652,111375.9911458588
1653,110488.10402327823
1654,177539.63721063436
1655,145117.97502551036
1656,172703.59234530904
1657,179315.41145579555
1658,173591.4794678896
1659,119234.21356094672
1660,145072.91401892607
1661,345654.9916483761
1662,324005.6709843215
1663,292384.64681310894
